2026-06-17 01:54:11 | INFO    | src.extract |   батч 676/2000, всего активаций: 80594
2026-06-17 01:54:12 | INFO    | src.extract |   батч 681/2000, всего активаций: 81252
2026-06-17 01:54:14 | INFO    | src.extract |   батч 686/2000, всего активаций: 81870
2026-06-17 01:54:16 | INFO    | src.extract |   батч 691/2000, всего активаций: 82490
2026-06-17 01:54:17 | INFO    | src.extract |   батч 696/2000, всего активаций: 83103
2026-06-17 01:54:19 | INFO    | src.extract |   батч 701/2000, всего активаций: 83772
2026-06-17 01:54:20 | INFO    | src.extract |   батч 706/2000, всего активаций: 84406
2026-06-17 01:54:22 | INFO    | src.extract |   батч 711/2000, всего активаций: 85009
2026-06-17 01:54:23 | INFO    | src.extract |   батч 716/2000, всего активаций: 85635
2026-06-17 01:54:25 | INFO    | src.extract |   батч 721/2000, всего активаций: 86231
2026-06-17 01:54:26 | INFO    | src.extract |   батч 726/2000, всего активаций: 86841
2026-06-17 01:54:28 | INFO    | src.extract |   батч 731/2000, всего активаций: 87447
2026-06-17 01:54:29 | INFO    | src.extract |   батч 736/2000, всего активаций: 88064
2026-06-17 01:54:31 | INFO    | src.extract |   батч 741/2000, всего активаций: 88712
2026-06-17 01:54:32 | INFO    | src.extract |   батч 746/2000, всего активаций: 89327
2026-06-17 01:54:34 | INFO    | src.extract |   батч 751/2000, всего активаций: 89922
2026-06-17 01:54:35 | INFO    | src.extract |   батч 756/2000, всего активаций: 90557
2026-06-17 01:54:37 | INFO    | src.extract |   батч 761/2000, всего активаций: 91181
2026-06-17 01:54:39 | INFO    | src.extract |   батч 766/2000, всего активаций: 91856
2026-06-17 01:54:40 | INFO    | src.extract |   батч 771/2000, всего активаций: 92523
2026-06-17 01:54:42 | INFO    | src.extract |   батч 776/2000, всего активаций: 93162
2026-06-17 01:54:43 | INFO    | src.extract |   батч 781/2000, всего активаций: 93786
2026-06-17 01:54:45 | INFO    | src.extract |   батч 786/2000, всего активаций: 94408
2026-06-17 01:54:46 | INFO    | src.extract |   батч 791/2000, всего активаций: 95061
2026-06-17 01:54:48 | INFO    | src.extract |   батч 796/2000, всего активаций: 95686
2026-06-17 01:54:50 | INFO    | src.extract |   батч 801/2000, всего активаций: 96294
