id,cluster
965,91
966,91
967,85
968,16
969,1
970,80
971,11
972,80
973,7
974,33
975,11
976,74
977,31
978,93
979,45
980,1
981,38
982,24
983,60
984,13
985,87
986,49
987,19
988,8
989,18
990,18
991,18
992,18
993,15
994,7
995,38
996,97
1001,99
1002,99
1003,99
1004,99
1005,49
1006,49
1007,49
1008,49
1013,25
1014,59
1015,27
1016,20
1017,89
1018,3
1019,99
1020,98
1021,98
1022,32
1023,1
1024,7
1025,89
1026,1
1027,59
1028,0
1029,59
1030,99
1031,38
1032,37
1033,59
1034,12
1035,98
1036,59
1037,13
1038,15
1039,42
1040,98
1041,99
1042,38
1043,81
1044,76
1045,69
1046,20
1047,16
1048,59
1049,41
1050,10
1051,0
1052,14
1053,7
1054,29
1055,7
1056,16
1057,38
1058,7
1059,90
1060,38
1061,72
1062,98
1063,33
1064,37
1065,38
1066,46
1067,41
1068,41
1069,0
1073,77
1074,7
1075,43
1076,82
1077,16
1078,17
1079,93
1080,48
1081,76
1082,27
1083,59
1084,55
1085,13
1086,37
1087,3
1088,16
1089,70
1090,80
1091,69
1092,60
1093,16
1094,91
1095,59
1096,93
1097,94
1098,70
1099,16
1100,88
1101,88
1102,88
1103,88
1104,10
1105,38
1106,65
1107,10
1108,10
1109,10
1110,46
1111,88
1112,10
1113,10
1114,43
1115,88
1116,10
1117,88
1118,10
1119,88
1120,65
1121,10
1122,91
1123,10
1124,69
1125,43
1126,10
1127,43
1128,10
1129,29
1130,65
1131,65
1132,69
1133,45
1134,43
1135,10
1136,88
1137,38
1138,37
1139,68
1140,45
1141,38
1142,7
1143,15
1144,37
1145,91
1146,42
1147,76
1148,60
1149,60
1150,72
1151,72
1152,82
1153,25
1154,92
1155,33
1156,16
1157,15
1158,16
1159,33
1160,16
1161,82
1162,90
1163,7
1164,90
1165,98
1166,98
1167,33
1168,16
1169,69
1170,84
1171,69
1172,69
1173,69
1174,69
1175,65
1176,68
1177,69
1178,69
1179,69
1180,68
1181,69
1182,33
1183,33
1184,0
1185,20
1186,99
1187,89
1188,76
1189,49
1190,76
1191,10
1192,10
1193,37
1194,59
1195,16
1196,49
1197,87
1198,59
1199,98
1200,82
1201,45
1202,15
1203,85
1204,16
1205,15
1206,59
1207,82
1208,7
1209,42
1210,72
1211,99
1212,93
1213,15
1214,43
1215,49
1216,81
1217,29
1218,33
1219,80
1220,49
1221,40
1222,80
1223,0
1224,13
1225,28
1226,11
1227,11
1228,81
1229,98
1230,49
1231,59
1232,88
1233,11
1234,21
1235,47
1236,27
1237,47
1238,99
1239,59
1240,10
1241,48
1242,49
1243,13
1244,10
1245,16
1246,98
1247,98
1248,95
1249,16
1250,90
1251,91
1252,91
1253,37
1254,47
1255,77
1257,91
1258,47
1259,47
1260,1
1261,59
1262,59
1263,16
1264,85
1265,96
1266,94
1267,82
1268,90
1269,76
1270,63
1271,20
1272,12
1273,37
1274,91
1275,20
1276,15
1277,49
1278,85
1279,99
1280,98
1281,86
1282,86
1283,92
1284,86
1285,59
1286,88
1287,99
1288,1
1289,76
1290,65
1291,76
1292,10
1293,4
1294,49
1295,15
1296,1
1297,13
1298,59
1299,35
1300,59
1301,96
1302,54
1303,43
1304,38
1305,49
1306,15
1307,16
1308,10
1309,15
1310,29
1311,10
1312,59
1313,59
1314,33
1315,81
1316,13
1317,98
1318,70
1319,11
1320,33
1321,38
1322,98
1323,42
1324,87
1325,13
1326,87
1327,1
1328,48
1329,25
1330,92
1331,28
1332,85
1333,99
1334,37
1335,53
1336,13
1337,13
1338,15
1340,13
1341,89
1342,1
1343,0
1344,49
1345,49
1346,96
1347,11
1348,16
1349,87
1350,0
1351,95
1352,49
1353,25
1354,1
1355,16
1356,7
1357,49
1358,99
1359,91
1360,53
1361,86
1362,7
1363,86
1364,17
1365,98
1366,0
1367,92
1368,44
1369,49
1370,13
1371,27
1372,27
1373,49
1374,0
1375,92
1376,3
1377,91
1378,84
1379,45
1380,49
1381,99
1382,38
1383,38
1384,29
1385,59
1386,94
1387,37
1388,97
1389,49
1390,59
1391,48
1392,57
1393,38
1394,57
1395,15
1396,65
1397,20
1398,20
1399,1
1400,16
1401,16
1402,44
1403,49
1404,31
1405,49
1406,85
1407,7
1408,60
1409,84
1410,49
1411,49
1412,7
1413,15
1414,85
1415,57
1416,94
1417,49
1418,38
1419,85
1420,45
1421,94
1422,37
1423,85
1424,16
1425,49
1426,49
1427,49
1428,49
1429,82
1430,88
1431,22
1432,49
1433,49
1434,8
1435,15
1436,42
1437,49
1438,1
1439,93
1440,63
1441,16
1442,33
1443,49
1444,70
1445,77
1446,80
1447,33
1448,1
1449,16
1450,92
1451,68
1452,14
1453,49
1454,49
1455,0
1456,49
1457,93
1458,82
1459,38
1460,29
1461,91
1462,80
1463,15
1464,80
1465,7
1466,87
1467,57
1468,46
1469,38
1470,45
1471,38
1472,0
1473,16
1474,49
1475,49
1476,7
1477,15
1478,80
1479,42
1480,85
1481,49
1482,49
1483,73
1484,22
1485,95
1486,2
1487,34
1488,42
1489,74
1490,74
1491,13
1492,73
1493,26
1494,26
1495,33
1496,47
1497,0
1498,88
1499,53
1500,88
1501,88
1502,88
1503,88
1504,10
1505,38
1506,69
1507,65
1508,10
1509,10
1510,10
1511,46
1512,88
1513,10
1514,10
1515,43
1516,88
1517,10
1518,88
1519,10
1520,10
1521,88
1522,65
1523,10
1524,10
1525,38
1526,10
1527,10
1528,69
1529,43
1530,10
1531,43
1532,10
1533,29
1534,65
1535,65
1536,69
1537,91
1538,45
1539,43
1540,10
1541,88
1542,69
1543,99
1544,99
1545,99
1546,99
1547,88
1548,85
1549,26
1550,94
1551,1
1552,33
1553,0
1554,49
1555,59
1556,0
1557,88
1558,20
1559,0
1560,95
1561,20
1562,59
1563,33
1564,13
1565,43
1566,79
1567,38
1568,38
1569,1
1570,11
1571,69
1572,69
1573,92
1574,94
1575,11
1576,73
1577,33
1578,49
1579,69
1580,69
1581,26
1582,26
1583,56
1584,69
1585,1
1586,1
1587,16
1588,16
1589,91
1590,22
1591,69
1592,26
1593,32
1594,15
1595,59
1596,59
1597,72
1598,69
1599,74
1600,69
1601,33
1602,80
1603,94
1604,7
1605,16
1606,91
1607,25
1608,0
1609,26
1610,26
1611,17
1612,24
1613,91
1614,94
1615,88
1616,69
1617,76
1618,10
1620,59
1621,33
1622,1
1623,1
1624,1
1625,16
1626,16
1627,16
1628,1
1629,85
1630,85
1631,91
1632,33
1633,59
1634,37
1635,69
1636,69
1637,89
1638,20
1639,49
1640,93
1641,49
1642,69
1643,69
1644,0
1645,38
1646,59
1647,77
1649,0
1650,20
1651,33
1652,7
1653,18
1654,16
1655,59
1656,69
1657,69
1658,69
1659,0
1660,0
1661,33
1662,84
1663,41
1664,24
1665,15
1666,69
1667,1
1668,29
1669,2
1670,18
1671,93
1672,69
1673,69
1674,14
1675,89
1676,69
1677,69
1678,33
1679,59
1680,0
1681,69
1682,69
1683,49
1684,16
1685,33
1686,33
1687,69
1688,45
1689,89
1690,94
1692,42
1693,22
1694,45
1695,33
1696,33
1697,74
1698,7
1699,33
1700,13
1701,94
1702,13
1703,33
1704,49
1705,81
1706,81
1707,81
1708,81
1709,85
1710,49
1711,82
1712,7
1713,41
1714,49
1715,0
1716,85
1717,89
1718,76
1719,99
1720,85
1721,33
1722,18
1723,59
1724,82
1725,59
1726,69
1727,69
1728,69
1729,93
1730,3
1731,38
1732,87
1733,94
1734,93
1735,69
1736,88
1737,49
1738,13
1739,79
1740,59
1741,33
1742,10
1743,56
1744,69
1745,99
1746,38
1747,37
1748,33
1749,0
1750,89
1751,44
1752,91
1753,87
1754,87
1755,87
1756,87
1757,7
1758,37
1759,13
1760,15
1761,37
1762,37
1763,56
1764,59
1765,88
1768,88
1769,10
1770,91
1771,65
1772,10
1773,10
1774,10
1775,46
1776,88
1777,10
1778,10
1779,43
1780,88
1781,10
1782,88
1783,10
1784,88
1785,65
1786,10
1787,10
1788,88
1790,69
1791,43
1792,10
1793,43
1794,91
1795,29
1796,65
1797,65
1798,69
1799,45
1800,43
1801,10
1802,88
1803,59
1804,12
1805,15
1806,15
1807,85
1808,93
1809,59
1810,49
1811,49
1812,49
1813,49
1814,85
1815,41
1816,3
1817,37
1818,37
1819,37
1820,37
1821,37
1822,56
1823,37
1824,15
1825,3
1826,49
1827,13
1828,29
1829,43
1830,38
1831,33
1832,33
1833,33
1834,33
1835,33
1836,33
1837,91
1838,27
1839,16
1840,70
1841,49
1842,87
1843,93
1844,8
1845,93
1846,37
1847,98
1848,97
1849,33
1850,57
1851,33
1852,99
1853,56
1854,47
1855,38
1856,0
1857,33
1858,85
1859,80
1860,91
1861,95
1862,82
1863,84
1864,41
1865,27
1866,27
1867,3
1868,92
1869,33
1870,87
1871,0
1872,33
1873,49
1874,92
1875,37
1876,76
1877,59
1878,33
1879,46
1880,16
1881,59
1882,59
1883,87
1884,49
1885,91
1886,91
1887,40
1888,33
1889,32
1890,79
1891,74
1892,26
1893,88
1894,27
1895,0
1896,47
1897,16
1898,0
1899,0
1900,7
1901,3
1902,57
1903,45
1904,3
1905,1
1906,16
1907,59
1908,59
1909,81
1911,18
1912,49
1913,33
1915,80
1916,59
1917,1
1918,82
1919,98
1920,15
1921,0
1922,10
1923,33
1924,38
1925,49
1926,2
1927,59
1928,59
1929,10
1930,16
1931,22
1932,67
1933,85
1934,99
1935,85
1936,60
1937,3
1938,87
1939,47
1940,49
1941,1
1942,0
1943,49
1944,87
1945,15
1946,12
1947,0
1948,17
1949,88
1950,0
1951,90
1952,93
1953,76
1954,0
1955,33
1956,15
1957,0
1958,99
1959,20
1960,33
1961,54
1962,99
1963,33
1965,7
1966,91
1967,49
1968,49
1969,94
1970,33
1971,43
1972,46
1973,69
1974,99
1975,16
1976,33
1977,69
1978,24
1979,55
1980,82
1981,56
1983,0
1985,1
1986,76
1987,16
1988,3
1989,80
1990,85
1991,80
1992,46
1993,76
1994,15
1995,99
1996,99
1997,99
1998,20
1999,16
2002,38
2003,38
2004,80
2005,75
2006,16
2007,76
2008,98
2009,81
2010,81
2011,7
2012,74
2013,33
2014,33
2015,80
2016,84
2017,20
2018,54
2019,33
2020,16
2021,7
2022,68
2023,49
2024,13
2025,80
2026,85
2027,10
2028,33
2029,59
2030,84
2031,33
2032,15
2033,20
2034,91
2035,15
2036,42
2037,80
2038,33
2039,98
2040,13
2041,47
2042,85
2043,33
2044,13
2045,13
2046,1
2047,49
2048,85
2049,13
2050,13
2051,85
2052,89
2053,31
2055,42
2056,13
2057,59
2058,73
2059,59
2060,0
2061,15
2062,65
2063,59
2064,29
2065,86
2066,59
2067,84
2068,85
2069,20
2070,16
2071,49
2072,85
2073,91
2074,53
2075,16
2076,89
2077,0
2078,16
2079,47
2080,38
2081,16
2082,47
2083,7
2084,16
2085,69
2086,92
2087,81
2088,81
2089,81
2090,82
2092,31
2093,31
2094,31
2095,59
2096,53
2097,33
2098,33
2099,18
2101,67
2102,67
2103,67
2104,67
2105,67
2106,67
2107,67
2108,67
2109,67
2110,67
2111,67
2112,67
2113,67
2114,67
2115,67
2116,67
2117,67
2118,67
